race;pid;finish;dist;dpos;alt;time
R00001;P000063;1;27.94;1444;815;3.26
R00001;P000063;1;42.96;3034;1935;6.09
R00001;P000063;1;54.11;3687;1550;9.1
R00001;P000063;1;58.12;3725;1088;9.76
R00001;P000063;1;59.33;3725;1063;9.93
R00001;P000064;1;0;0;1064;0.0
R00001;P000064;1;14.03;1229;1919;2.2
R00001;P000064;1;22.4;1410;1615;3.05
R00001;P000064;1;27.94;1444;815;3.76
R00001;P000064;1;42.96;3034;1935;6.69
R00001;P000064;1;54.11;3687;1550;9.25
R00001;P000064;1;58.12;3725;1088;9.85
R00001;P000064;1;59.33;3725;1063;9.97
R00001;P000065;1;0;0;1064;0.0
R00001;P000065;1;14.03;1229;1919;1.87
R00001;P000065;1;22.4;1410;1615;2.75
R00001;P000065;1;27.94;1444;815;3.39
R00001;P000065;1;42.96;3034;1935;6.6
R00001;P000065;1;54.11;3687;1550;9.32
R00001;P000065;1;58.12;3725;1088;9.87
R00001;P000065;1;59.33;3725;1063;9.99
R00001;P000066;1;0;0;1064;0.0
R00001;P000066;1;14.03;1229;1919;1.84
R00001;P000066;1;22.4;1410;1615;2.7
R00001;P000066;1;27.94;1444;815;3.38
R00001;P000066;1;42.96;3034;1935;6.54
R00001;P000066;1;54.11;3687;1550;9.32
R00001;P000066;1;58.12;3725;1088;9.88
R00001;P000066;1;59.33;3725;1063;9.99
R00001;P000067;1;0;0;1064;0.0
R00001;P000067;1;14.03;1229;1919;2.21
R00001;P000067;1;22.4;1410;1615;3.03
R00001;P000067;1;27.94;1444;815;3.66
R00001;P000067;1;42.96;3034;1935;6.69
R00001;P000067;1;54.11;3687;1550;9.43
R00001;P000067;1;58.12;3725;1088;9.91
R00001;P000067;1;59.33;3725;1063;10.01
R00001;P000068;1;0;0;1064;0.0
R00001;P000068;1;14.03;1229;1919;2.75
R00001;P000068;1;22.4;1410;1615;3.31
R00001;P000068;1;27.94;1444;815;4.02
R00001;P000068;1;42.96;3034;1935;6.9
R00001;P000068;1;54.11;3687;1550;9.41
R00001;P000068;1;58.12;3725;1088;9.94
R00001;P000068;1;59.33;3725;1063;10.03
R00001;P000069;1;0;0;1064;0.0
R00001;P000069;1;14.03;1229;1919;2.22
R00001;P000069;1;22.4;1410;1615;2.97
R00001;P000069;1;27.94;1444;815;3.6
R00001;P000069;1;42.96;3034;1935;6.71
R00001;P000069;1;54.11;3687;1550;9.48
R00001;P000069;1;58.12;3725;1088;9.94
R00001;P000069;1;59.33;3725;1063;10.04
R00001;P000070;1;0;0;1064;0.0
R00001;P000070;1;14.03;1229;1919;1.96
R00001;P000070;1;22.4;1410;1615;2.81
R00001;P000070;1;27.94;1444;815;3.44
R00001;P000070;1;42.96;3034;1935;7.02
R00001;P000070;1;54.11;3687;1550;9.39
R00001;P000070;1;58.12;3725;1088;9.94
R00001;P000070;1;59.33;3725;1063;10.05
R00001;P000071;1;0;0;1064;0.0
R00001;P000071;1;14.03;1229;1919;1.55
R00001;P000071;1;22.4;1410;1615;2.23
R00001;P000071;1;27.94;1444;815;2.69
R00001;P000071;1;42.96;3034;1935;4.97
R00001;P000071;1;54.11;3687;1550;6.66
R00001;P000071;1;58.12;3725;1088;7.01
R00001;P000071;1;59.33;3725;1063;7.11
R00001;P000072;1;0;0;1064;0.0
R00001;P000072;1;14.03;1229;1919;1.96
R00001;P000072;1;22.4;1410;1615;2.85
R00001;P000072;1;27.94;1444;815;3.54
R00001;P000072;1;42.96;3034;1935;6.7
R00001;P000072;1;54.11;3687;1550;9.39
R00001;P000072;1;58.12;3725;1088;9.92
R00001;P000072;1;59.33;3725;1063;10.07
R00001;P000073;1;0;0;1064;0.0
R00001;P000073;1;14.03;1229;1919;2.63
R00001;P000073;1;22.4;1410;1615;3.17
R00001;P000073;1;27.94;1444;815;3.81
R00001;P000073;1;42.96;3034;1935;6.8
R00001;P000073;1;54.11;3687;1550;9.41
R00001;P000073;1;58.12;3725;1088;9.95
R00001;P000073;1;59.33;3725;1063;10.07
R00001;P000074;1;0;0;1064;0.0
R00001;P000074;1;14.03;1229;1919;2.62
R00001;P000074;1;22.4;1410;1615;3.17
R00001;P000074;1;27.94;1444;815;3.79
R00001;P000074;1;42.96;3034;1935;6.8
R00001;P000074;1;54.11;3687;1550;9.41
R00001;P000074;1;58.12;3725;1088;9.95
R00001;P000074;1;59.33;3725;1063;10.07
R00001;P000075;1;0;0;1064;0.0
R00001;P000075;1;14.03;1229;1919;1.94
R00001;P000075;1;22.4;1410;1615;2.87
R00001;P000075;1;27.94;1444;815;3.63
R00001;P000075;1;42.96;3034;1935;6.68
R00001;P000075;1;54.11;3687;1550;9.44
R00001;P000075;1;58.12;3725;1088;9.97
R00001;P000075;1;59.33;3725;1063;10.08
R00001;P000076;1;0;0;1064;0.0
R00001;P000076;1;14.03;1229;1919;1.96
R00001;P000076;1;22.4;1410;1615;2.88
R00001;P000076;1;27.94;1444;815;3.61
R00001;P000076;1;42.96;3034;1935;6.64
R00001;P000076;1;54.11;3687;1550;9.47
R00001;P000076;1;58.12;3725;1088;10.01
R00001;P000076;1;59.33;3725;1063;10.11
R00001;P000077;1;0;0;1064;0.0
R00001;P000077;1;14.03;1229;1919;2.24
R00001;P000077;1;22.4;1410;1615;3.01
R00001;P000077;1;27.94;1444;815;3.66
R00001;P000077;1;42.96;3034;1935;6.85
R00001;P000077;1;54.11;3687;1550;9.55
R00001;P000077;1;58.12;3725;1088;10.02
R00001;P000077;1;59.33;3725;1063;10.12
R00001;P000078;1;0;0;1064;0.0
R00001;P000078;1;14.03;1229;1919;2.01
R00001;P000078;1;22.4;1410;1615;2.9
R00001;P000078;1;27.94;1444;815;3.62
R00001;P000078;1;42.96;3034;1935;6.9
R00001;P000078;1;54.11;3687;1550;9.55
R00001;P000078;1;58.12;3725;1088;10.03
R00001;P000078;1;59.33;3725;1063;10.13
R00001;P000079;1;0;0;1064;0.0
R00001;P000079;1;14.03;1229;1919;2.09
R00001;P000079;1;22.4;1410;1615;2.96
R00001;P000079;1;27.94;1444;815;3.64
R00001;P000079;1;42.96;3034;1935;6.53
R00001;P000079;1;54.11;3687;1550;9.21
R00001;P000079;1;58.12;3725;1088;9.92
R00001;P000079;1;59.33;3725;1063;10.14
R00001;P000080;1;0;0;1064;0.0
R00001;P000080;1;14.03;1229;1919;1.93
R00001;P000080;1;22.4;1410;1615;2.97
R00001;P000080;1;27.94;1444;815;3.73
R00001;P000080;1;42.96;3034;1935;6.87
R00001;P000080;1;54.11;3687;1550;9.55
R00001;P000080;1;58.12;3725;1088;10.08
R00001;P000080;1;59.33;3725;1063;10.2
R00001;P000081;1;0;0;1064;0.0
R00001;P000081;1;14.03;1229;1919;2.07
R00001;P000081;1;22.4;1410;1615;2.97
R00001;P000081;1;27.94;1444;815;3.71
R00001;P000081;1;42.96;3034;1935;6.91
R00001;P000081;1;54.11;3687;1550;9.55
R00001;P000081;1;58.12;3725;1088;10.09
R00001;P000081;1;59.33;3725;1063;10.2
R00001;P000082;1;0;0;1064;0.0
R00001;P000082;1;14.03;1229;1919;2.74
R00001;P000082;1;22.4;1410;1615;3.31
R00001;P000082;1;27.94;1444;815;4.07
R00001;P000082;1;42.96;3034;1935;7.1
R00001;P000082;1;54.11;3687;1550;9.62
R00001;P000082;1;58.12;3725;1088;10.11
R00001;P000082;1;59.33;3725;1063;10.2
R00001;P000083;1;0;0;1064;0.0
R00001;P000083;1;14.03;1229;1919;2.08
R00001;P000083;1;22.4;1410;1615;2.98
R00001;P000083;1;27.94;1444;815;3.7
R00001;P000083;1;42.96;3034;1935;6.9
R00001;P000083;1;54.11;3687;1550;9.59
R00001;P000083;1;58.12;3725;1088;10.11
R00001;P000083;1;59.33;3725;1063;10.23
R00001;P000084;1;0;0;1064;0.0
R00001;P000084;1;14.03;1229;1919;2.64
R00001;P000084;1;22.4;1410;1615;3.19
R00001;P000084;1;27.94;1444;815;3.86
R00001;P000084;1;42.96;3034;1935;6.89
R00001;P000084;1;54.11;3687;1550;9.59
R00001;P000084;1;58.12;3725;1088;10.12
R00001;P000084;1;59.33;3725;1063;10.23
R00001;P000085;1;0;0;1064;0.0
R00001;P000085;1;14.03;1229;1919;2.85
R00001;P000085;1;22.4;1410;1615;3.39
R00001;P000085;1;27.94;1444;815;4.09
R00001;P000085;1;42.96;3034;1935;7.22
R00001;P000085;1;54.11;3687;1550;9.69
R00001;P000085;1;58.12;3725;1088;10.16
R00001;P000085;1;59.33;3725;1063;10.27
R00001;P000086;1;0;0;1064;0.0
R00001;P000086;1;14.03;1229;1919;2.06
R00001;P000086;1;22.4;1410;1615;2.95
R00001;P000086;1;27.94;1444;815;3.65
R00001;P000086;1;42.96;3034;1935;6.79
R00001;P000086;1;54.11;3687;1550;9.6
R00001;P000086;1;58.12;3725;1088;10.17
R00001;P000086;1;59.33;3725;1063;10.27
R00001;P000087;1;0;0;1064;0.0
R00001;P000087;1;14.03;1229;1919;1.89
R00001;P000087;1;22.4;1410;1615;2.77
R00001;P000087;1;27.94;1444;815;3.45
R00001;P000087;1;42.96;3034;1935;6.55
R00001;P000087;1;54.11;3687;1550;9.53
R00001;P000087;1;58.12;3725;1088;10.14
R00001;P000087;1;59.33;3725;1063;10.28
R00001;P000088;1;0;0;1064;0.0
R00001;P000088;1;14.03;1229;1919;3.11
R00001;P000088;1;22.4;1410;1615;3.32
R00001;P000088;1;27.94;1444;815;3.95
R00001;P000088;1;42.96;3034;1935;7.08
R00001;P000088;1;54.11;3687;1550;9.81
R00001;P000088;1;58.12;3725;1088;10.2
R00001;P000088;1;59.33;3725;1063;10.29
R00001;P000089;1;0;0;1064;0.0
R00001;P000089;1;14.03;1229;1919;1.54
R00001;P000089;1;22.4;1410;1615;2.22
R00001;P000089;1;27.94;1444;815;2.69
R00001;P000089;1;42.96;3034;1935;4.85
R00001;P000089;1;54.11;3687;1550;6.85
R00001;P000089;1;58.12;3725;1088;7.26
R00001;P000089;1;59.33;3725;1063;7.34
R00001;P000090;1;0;0;1064;0.0
R00001;P000090;1;14.03;1229;1919;1.91
R00001;P000090;1;22.4;1410;1615;2.7
R00001;P000090;1;27.94;1444;815;3.39
R00001;P000090;1;42.96;3034;1935;6.42
R00001;P000090;1;54.11;3687;1550;9.79
R00001;P000090;1;58.12;3725;1088;10.23
R00001;P000090;1;59.33;3725;1063;10.32
R00001;P000091;1;0;0;1064;0.0
R00001;P000091;1;14.03;1229;1919;2.73
R00001;P000091;1;22.4;1410;1615;3.27
R00001;P000091;1;27.94;1444;815;4.0
R00001;P000091;1;42.96;3034;1935;6.85
R00001;P000091;1;54.11;3687;1550;9.68
R00001;P000091;1;58.12;3725;1088;10.23
R00001;P000091;1;59.33;3725;1063;10.34
R00001;P000092;1;0;0;1064;0.0
R00001;P000092;1;14.03;1229;1919;2.24
R00001;P000092;1;22.4;1410;1615;3.04
R00001;P000092;1;27.94;1444;815;3.75
R00001;P000092;1;42.96;3034;1935;6.89
R00001;P000092;1;54.11;3687;1550;9.64
R00001;P000092;1;58.12;3725;1088;10.22
R00001;P000092;1;59.33;3725;1063;10.34
R00001;P000093;1;0;0;1064;0.0
R00001;P000093;1;14.03;1229;1919;2.63
R00001;P000093;1;22.4;1410;1615;3.18
R00001;P000093;1;27.94;1444;815;3.81
R00001;P000093;1;42.96;3034;1935;7.07
R00001;P000093;1;54.11;3687;1550;9.74
R00001;P000093;1;58.12;3725;1088;10.24
R00001;P000093;1;59.33;3725;1063;10.35
R00001;P000094;1;0;0;1064;0.0
R00001;P000094;1;14.03;1229;1919;2.6
R00001;P000094;1;22.4;1410;1615;3.19
R00001;P000094;1;27.94;1444;815;3.91
R00001;P000094;1;42.96;3034;1935;7.04
R00001;P000094;1;54.11;3687;1550;9.78
R00001;P000094;1;58.12;3725;1088;10.24
R00001;P000094;1;59.33;3725;1063;10.35
R00001;P000095;1;0;0;1064;0.0
R00001;P000095;1;14.03;1229;1919;2.64
R00001;P000095;1;22.4;1410;1615;3.18
R00001;P000095;1;27.94;1444;815;3.87
R00001;P000095;1;42.96;3034;1935;7.07
R00001;P000095;1;54.11;3687;1550;9.74
R00001;P000095;1;58.12;3725;1088;10.24
R00001;P000095;1;59.33;3725;1063;10.35
R00001;P000096;1;0;0;1064;0.0
R00001;P000096;1;14.03;1229;1919;2.75
R00001;P000096;1;22.4;1410;1615;3.28
R00001;P000096;1;27.94;1444;815;4.0
R00001;P000096;1;42.96;3034;1935;7.14
R00001;P000096;1;54.11;3687;1550;9.82
R00001;P000096;1;58.12;3725;1088;10.28
R00001;P000096;1;59.33;3725;1063;10.38
R00001;P000097;1;0;0;1064;0.0
R00001;P000097;1;14.03;1229;1919;2.61
R00001;P000097;1;22.4;1410;1615;3.3
R00001;P000097;1;27.94;1444;815;4.0
R00001;P000097;1;42.96;3034;1935;7.08
R00001;P000097;1;54.11;3687;1550;9.8
R00001;P000097;1;58.12;3725;1088;10.31
R00001;P000097;1;59.33;3725;1063;10.41
R00001;P000098;1;0;0;1064;0.0
R00001;P000098;1;14.03;1229;1919;2.64
R00001;P000098;1;22.4;1410;1615;3.17
R00001;P000098;1;27.94;1444;815;3.81
R00001;P000098;1;42.96;3034;1935;6.92
R00001;P000098;1;54.11;3687;1550;9.72
R00001;P000098;1;58.12;3725;1088;10.31
R00001;P000098;1;59.33;3725;1063;10.43
R00001;P000099;1;0;0;1064;0.0
R00001;P000099;1;14.03;1229;1919;2.95
R00001;P000099;1;22.4;1410;1615;3.34
R00001;P000099;1;27.94;1444;815;3.98
R00001;P000099;1;42.96;3034;1935;7.12
R00001;P000099;1;54.11;3687;1550;9.84
R00001;P000099;1;58.12;3725;1088;10.33
R00001;P000099;1;59.33;3725;1063;10.44
R00001;P000100;1;0;0;1064;0.0
R00001;P000100;1;14.03;1229;1919;2.76
R00001;P000100;1;22.4;1410;1615;3.38
R00001;P000100;1;27.94;1444;815;4.06
R00001;P000100;1;42.96;3034;1935;7.05
R00001;P000100;1;54.11;3687;1550;9.82
R00001;P000100;1;58.12;3725;1088;10.39
R00001;P000100;1;59.33;3725;1063;10.52
R00001;P000101;1;0;0;1064;0.0
R00001;P000101;1;14.03;1229;1919;2.31
R00001;P000101;1;22.4;1410;1615;3.13
R00001;P000101;1;27.94;1444;815;3.86
R00001;P000101;1;42.96;3034;1935;6.95
R00001;P000101;1;54.11;3687;1550;9.88
R00001;P000101;1;58.12;3725;1088;10.42
R00001;P000101;1;59.33;3725;1063;10.52
R00001;P000102;1;0;0;1064;0.0
R00001;P000102;1;14.03;1229;1919;2.36
R00001;P000102;1;22.4;1410;1615;3.18
R00001;P000102;1;27.94;1444;815;3.87
R00001;P000102;1;42.96;3034;1935;7.04
R00001;P000102;1;54.11;3687;1550;9.88
R00001;P000102;1;58.12;3725;1088;10.45
R00001;P000102;1;59.33;3725;1063;10.56
R00001;P000103;1;0;0;1064;0.0
R00001;P000103;1;14.03;1229;1919;2.67
R00001;P000103;1;22.4;1410;1615;3.19
R00001;P000103;1;27.94;1444;815;3.82
R00001;P000103;1;42.96;3034;1935;7.09
R00001;P000103;1;54.11;3687;1550;9.95
R00001;P000103;1;58.12;3725;1088;10.47
R00001;P000103;1;59.33;3725;1063;10.57
R00001;P000104;1;0;0;1064;0.0
R00001;P000104;1;14.03;1229;1919;2.93
R00001;P000104;1;22.4;1410;1615;3.41
R00001;P000104;1;27.94;1444;815;4.1
R00001;P000104;1;42.96;3034;1935;7.14
R00001;P000104;1;54.11;3687;1550;9.95
R00001;P000104;1;58.12;3725;1088;10.46
R00001;P000104;1;59.33;3725;1063;10.57
R00001;P000105;1;0;0;1064;0.0
R00001;P000105;1;14.03;1229;1919;1.94
R00001;P000105;1;22.4;1410;1615;2.89
R00001;P000105;1;27.94;1444;815;3.64
R00001;P000105;1;42.96;3034;1935;6.93
R00001;P000105;1;54.11;3687;1550;9.96
R00001;P000105;1;58.12;3725;1088;10.5
R00001;P000105;1;59.33;3725;1063;10.6
R00001;P000106;1;0;0;1064;0.0
R00001;P000106;1;14.03;1229;1919;2.08
R00001;P000106;1;22.4;1410;1615;2.96
R00001;P000106;1;27.94;1444;815;3.59
R00001;P000106;1;42.96;3034;1935;6.86
R00001;P000106;1;54.11;3687;1550;9.97
R00001;P000106;1;58.12;3725;1088;10.5
R00001;P000106;1;59.33;3725;1063;10.62
R00001;P000107;1;0;0;1064;0.0
R00001;P000107;1;22.4;1410;1615;3.34
R00001;P000107;1;42.96;3034;1935;7.24
R00001;P000107;1;59.33;3725;1063;10.67
R00001;P000108;1;0;0;1064;0.0
R00001;P000108;1;14.03;1229;1919;2.53
R00001;P000108;1;22.4;1410;1615;3.18
R00001;P000108;1;27.94;1444;815;3.99
R00001;P000108;1;42.96;3034;1935;7.22
R00001;P000108;1;54.11;3687;1550;10.09
R00001;P000108;1;58.12;3725;1088;10.56
R00001;P000108;1;59.33;3725;1063;10.68
R00001;P000109;1;0;0;1064;0.0
R00001;P000109;1;14.03;1229;1919;2.33
R00001;P000109;1;22.4;1410;1615;3.26
R00001;P000109;1;27.94;1444;815;4.07
R00001;P000109;1;42.96;3034;1935;7.2
R00001;P000109;1;54.11;3687;1550;9.97
R00001;P000109;1;58.12;3725;1088;10.57
R00001;P000109;1;59.33;3725;1063;10.68
R00001;P000110;1;0;0;1064;0.0
R00001;P000110;1;14.03;1229;1919;2.52
R00001;P000110;1;22.4;1410;1615;3.18
R00001;P000110;1;27.94;1444;815;3.99
R00001;P000110;1;42.96;3034;1935;7.15
R00001;P000110;1;54.11;3687;1550;10.09
R00001;P000110;1;58.12;3725;1088;10.56
R00001;P000110;1;59.33;3725;1063;10.68
R00001;P000111;1;0;0;1064;0.0
R00001;P000111;1;14.03;1229;1919;1.54
R00001;P000111;1;22.4;1410;1615;2.23
R00001;P000111;1;27.94;1444;815;2.72
R00001;P000111;1;42.96;3034;1935;5.15
R00001;P000111;1;54.11;3687;1550;7.18
R00001;P000111;1;58.12;3725;1088;7.63
R00001;P000111;1;59.33;3725;1063;7.73
R00001;P000112;1;0;0;1064;0.0
R00001;P000112;1;22.4;1410;1615;2.19
R00001;P000112;1;27.94;1444;815;2.66
R00001;P000112;1;42.96;3034;1935;5.29
R00001;P000112;1;54.11;3687;1550;7.23
R00001;P000112;1;58.12;3725;1088;7.66
R00001;P000112;1;59.33;3725;1063;7.75
R00001;P000113;1;0;0;1064;0.0
R00001;P000113;1;14.03;1229;1919;1.96
R00001;P000113;1;22.4;1410;1615;2.84
R00001;P000113;1;27.94;1444;815;3.43
R00001;P000113;1;42.96;3034;1935;6.51
R00001;P000113;1;54.11;3687;1550;10.01
R00001;P000113;1;58.12;3725;1088;10.62
R00001;P000113;1;59.33;3725;1063;10.73
R00001;P000114;1;0;0;1064;0.0
R00001;P000114;1;14.03;1229;1919;2.6
R00001;P000114;1;22.4;1410;1615;3.27
R00001;P000114;1;27.94;1444;815;4.05
R00001;P000114;1;42.96;3034;1935;7.22
R00001;P000114;1;54.11;3687;1550;10.01
R00001;P000114;1;58.12;3725;1088;10.63
R00001;P000114;1;59.33;3725;1063;10.75
R00001;P000115;1;0;0;1064;0.0
R00001;P000115;1;14.03;1229;1919;2.61
R00001;P000115;1;22.4;1410;1615;3.27
R00001;P000115;1;27.94;1444;815;4.06
R00001;P000115;1;42.96;3034;1935;7.22
R00001;P000115;1;54.11;3687;1550;10.01
R00001;P000115;1;58.12;3725;1088;10.63
R00001;P000115;1;59.33;3725;1063;10.75
R00001;P000116;1;0;0;1064;0.0
R00001;P000116;1;14.03;1229;1919;2.71
R00001;P000116;1;22.4;1410;1615;3.22
R00001;P000116;1;27.94;1444;815;3.8
R00001;P000116;1;42.96;3034;1935;7.43
R00001;P000116;1;54.11;3687;1550;10.19
R00001;P000116;1;58.12;3725;1088;10.65
R00001;P000116;1;59.33;3725;1063;10.78
R00001;P000117;1;0;0;1064;0.0
R00001;P000117;1;14.03;1229;1919;2.32
R00001;P000117;1;22.4;1410;1615;3.18
R00001;P000117;1;27.94;1444;815;4.0
R00001;P000117;1;42.96;3034;1935;7.31
R00001;P000117;1;54.11;3687;1550;10.18
R00001;P000117;1;58.12;3725;1088;10.67
R00001;P000117;1;59.33;3725;1063;10.79
R00001;P000118;1;0;0;1064;0.0
R00001;P000118;1;14.03;1229;1919;2.33
R00001;P000118;1;22.4;1410;1615;3.06
R00001;P000118;1;27.94;1444;815;3.75
R00001;P000118;1;42.96;3034;1935;7.04
R00001;P000118;1;54.11;3687;1550;10.1
R00001;P000118;1;58.12;3725;1088;10.68
R00001;P000118;1;59.33;3725;1063;10.79
R00001;P000119;1;0;0;1064;0.0
R00001;P000119;1;14.03;1229;1919;1.62
R00001;P000119;1;22.4;1410;1615;2.38
R00001;P000119;1;27.94;1444;815;2.94
R00001;P000119;1;42.96;3034;1935;5.3
R00001;P000119;1;54.11;3687;1550;7.36
R00001;P000119;1;58.12;3725;1088;7.75
R00001;P000119;1;59.33;3725;1063;7.83
R00001;P000120;1;0;0;1064;0.0
R00001;P000120;1;14.03;1229;1919;2.54
R00001;P000120;1;22.4;1410;1615;3.31
R00001;P000120;1;27.94;1444;815;4.12
R00001;P000120;1;42.96;3034;1935;7.38
R00001;P000120;1;54.11;3687;1550;10.16
R00001;P000120;1;58.12;3725;1088;10.73
R00001;P000120;1;59.33;3725;1063;10.84
R00001;P000121;1;0;0;1064;0.0
R00001;P000121;1;14.03;1229;1919;2.54
R00001;P000121;1;22.4;1410;1615;3.31
R00001;P000121;1;27.94;1444;815;4.12
R00001;P000121;1;42.96;3034;1935;7.38
R00001;P000121;1;54.11;3687;1550;10.16
R00001;P000121;1;58.12;3725;1088;10.73
R00001;P000121;1;59.33;3725;1063;10.84
R00001;P000122;1;0;0;1064;0.0
R00001;P000122;1;14.03;1229;1919;2.2
R00001;P000122;1;22.4;1410;1615;3.05
R00001;P000122;1;27.94;1444;815;3.85
R00001;P000122;1;42.96;3034;1935;7.2
R00001;P000122;1;54.11;3687;1550;10.17
R00001;P000122;1;58.12;3725;1088;10.76
R00001;P000122;1;59.33;3725;1063;10.87
R00001;P000123;1;0;0;1064;0.0
R00001;P000123;1;14.03;1229;1919;2.79
R00001;P000123;1;22.4;1410;1615;3.42
R00001;P000123;1;27.94;1444;815;4.18
R00001;P000123;1;42.96;3034;1935;7.27
R00001;P000123;1;54.11;3687;1550;10.16
R00001;P000123;1;58.12;3725;1088;10.76
R00001;P000123;1;59.33;3725;1063;10.87
R00001;P000124;1;0;0;1064;0.0
R00001;P000124;1;27.94;1444;815;4.21
R00001;P000124;1;42.96;3034;1935;7.45
R00001;P000124;1;54.11;3687;1550;10.31
R00001;P000124;1;58.12;3725;1088;10.78
R00001;P000124;1;59.33;3725;1063;10.89
R00001;P000125;1;0;0;1064;0.0
R00001;P000125;1;14.03;1229;1919;2.6
R00001;P000125;1;22.4;1410;1615;3.23
R00001;P000125;1;27.94;1444;815;4.03
R00001;P000125;1;42.96;3034;1935;7.4
R00001;P000125;1;54.11;3687;1550;10.25
R00001;P000125;1;58.12;3725;1088;10.8
R00001;P000125;1;59.33;3725;1063;10.91
R00001;P000126;1;0;0;1064;0.0
R00001;P000126;1;14.03;1229;1919;2.21
R00001;P000126;1;22.4;1410;1615;3.03
R00001;P000126;1;27.94;1444;815;3.73
R00001;P000126;1;42.96;3034;1935;7.29
